# ------------------------------------[UPDATE]--------------------------------------
# Title: The Block List Project - TikTok List
# Expires: 1 day
# Homepage: https://blocklist.site
# Help: https://github.com/blocklistproject/lists/wiki/
# License: https://unlicense.org
# Total number of network filters: 3699
# ------------------------------------[SUPPORT]-------------------------------------
# You can support by:
# - reporting false positives
# - making a donation: https://paypal.me/blocklistproject
# -------------------------------------[INFO]---------------------------------------
#
# TikTok list
# ------------------------------------[FILTERS]-------------------------------------
0.0.0.0 0pbxmo-useast2a.xzcs3zlph.com
0.0.0.0 0pbxmo-useast2a.xzcs3zlph.com.edgesuite.net
0.0.0.0 0pbxmo.xzcs3zlph.com
0.0.0.0 0pbxmo.xzcs3zlph.com.edgesuite.net
0.0.0.0 0rutzab.qfyf1toi.com
0.0.0.0 1uipkgq.mzfvozqybf.com
0.0.0.0 3dokby.toutiao50.com
0.0.0.0 472064670264-p830d2k61ivgab1ihaq1oe5u50jf54q9.apps.googleusercontent.com
0.0.0.0 5412ac7a44c679ea291e43368cac45de.byteoversea.com
0.0.0.0 908812512490-tqgub82rl7tuj6g8n7qvac1e21nqsiop.apps.googleusercontent.com
0.0.0.0 9pwigjmwo.xzcs3zlph.com
0.0.0.0 9pwigjmwo.xzcs3zlph.com.edgesuite.net
0.0.0.0 a.ipstatp.com
0.0.0.0 a.isnssdk.com
0.0.0.0 a.l.bytedns.net
0.0.0.0 a.pstatp.com
0.0.0.0 a.sgpstatp.com
0.0.0.0 a0.ipstatp.com
0.0.0.0 a0.pstatp.com
0.0.0.0 a0.pstatp.com.bsgslb.com
0.0.0.0 a0.pstatp.com.cloudcdn.net
0.0.0.0 a0.pstatp.com.cloudglb.com
0.0.0.0 a0.sgpstatp.com
0.0.0.0 a1-ipv6.pstatp.com.wsglb0.com
0.0.0.0 a1.ipstatp.com
0.0.0.0 a1.l.bytedns.net
0.0.0.0 a1.pstatp.com
0.0.0.0 a1.pstatp.com.wscdns.com
0.0.0.0 a15-tb.isnssdk.com
0.0.0.0 a15-tb.sgsnssdk.com
0.0.0.0 a15-wd.ipstatp.com
0.0.0.0 a16-tb.isnssdk.com
0.0.0.0 a16-tb.isnssdk.com.edgekey.net
0.0.0.0 a2.ipstatp.com
0.0.0.0 a2.pstatp.com
0.0.0.0 a3-ipv6.pstatp.com
0.0.0.0 a3-ipv6.pstatp.com.w.cdngslb.com
0.0.0.0 a3.bytecdn.cn
0.0.0.0 a3.pstatp.com
0.0.0.0 a3.pstatp.com.w.alikunlun.net
0.0.0.0 a4.bytecdn.cn
0.0.0.0 a4.pstatp.com
0.0.0.0 a5.bytecdn.cn
0.0.0.0 a5.pstatp.com
0.0.0.0 a6-ipv6.pstatp.com
0.0.0.0 a6.bytecdn.cn
0.0.0.0 a6.pstatp.com
