# ------------------------------------[UPDATE]--------------------------------------
# Title: The Block List Project - Ads List
# Expires: 1 day
# Homepage: https://blocklist.site
# Help: https://github.com/blocklistproject/lists/wiki/
# License: https://unlicense.org
# Total number of network filters: 30836
# ------------------------------------[SUPPORT]-------------------------------------
# You can support by:
# - reporting false positives
# - making a donation: https://paypal.me/blocklistproject
# -------------------------------------[INFO]---------------------------------------
#
# Ad list
# ------------------------------------[FILTERS]-------------------------------------
0.0.0.0 _thums.ero-advertising.com
0.0.0.0 0.fls.doubleclick.net
0.0.0.0 0.r.msn.com
0.0.0.0 0.up.qingdaonews.com
0.0.0.0 0001-cab8-4c8c-43de.reporo.net
0.0.0.0 0001.2waky.com
0.0.0.0 000lex4.wcomhost.com
0.0.0.0 000lk3v.wcomhost.com
0.0.0.0 000lkub.rcomhost.com
0.0.0.0 000ll4q.rcomhost.com
0.0.0.0 000lp59.wcomhost.com
0.0.0.0 000m9w3.wcomhost.com
0.0.0.0 000macu.wcomhost.com
0.0.0.0 001547.000webhostapp.com
0.0.0.0 002-slq-470.mktoresp.com
0.0.0.0 002.hitgraph.jp
0.0.0.0 0026645142c89aeb1.com
0.0.0.0 004-btr-463.mktoresp.com
0.0.0.0 005.0x1f4b0.com
0.0.0.0 005.free-counter.co.uk
0.0.0.0 005.free-counters.co.uk
0.0.0.0 006.free-adult-counters.x-xtra.com
0.0.0.0 006.free-counter.co.uk
0.0.0.0 006.free-counters.co.uk
0.0.0.0 006a039c957c142bb.com
0.0.0.0 007-gateway.com
0.0.0.0 007.free-counter.co.uk
0.0.0.0 007.free-counters.co.uk
0.0.0.0 007.go2cloud.org
0.0.0.0 0073dd485d46d930dd9.com
0.0.0.0 0075-7112-e7eb-f9b9.reporo.net
0.0.0.0 008.free-counter.co.uk
0.0.0.0 008.free-counters.co.uk
0.0.0.0 009-yli-241.mktoresp.com
0.0.0.0 009.bapi.adsafeprotected.com
0.0.0.0 00aaa2d81c1d174.com
0.0.0.0 00ae8b5a9c1d597.com
0.0.0.0 00b5-d72d-8252-a96c.reporo.net
0.0.0.0 00bloggers.ru
0.0.0.0 00capital0neservice.000webhostapp.com
0.0.0.0 00f9-d59a-b75d-8898.reporo.net
0.0.0.0 00fun.com
0.0.0.0 00v07c3k7o.kameleoon.eu
0.0.0.0 00zasdf.pw
0.0.0.0 01-1099pro-nym2.ad.corp.appnexus.com
0.0.0.0 01-dc-den2.ad.corp.appnexus.com
