# ------------------------------------[UPDATE]--------------------------------------
# Title: The Block List Project - Ransomware List
# Expires: 1 day
# Homepage: https://blocklist.site
# Help: https://github.com/blocklistproject/list/wiki/
# License: https://unlicense.org
# Total number of network filters: 1904
# ------------------------------------[SUPPORT]-------------------------------------
# You can support by:
# - reporting false positives
# - making a donation: https://paypal.me/blocklistproject
# -------------------------------------[INFO]---------------------------------------
#
# Ransomware list
# ------------------------------------[FILTERS]-------------------------------------
0.0.0.0 25z5g623wpqpdwis.onion.to
0.0.0.0 27c73bq66y4xqoh7.dorfact.at
0.0.0.0 27lelchgcvs2wpm7.3lhjyx.top
0.0.0.0 27lelchgcvs2wpm7.7jiff7.top
0.0.0.0 27lelchgcvs2wpm7.7zv8o2.top
0.0.0.0 27lelchgcvs2wpm7.9ildst.top
0.0.0.0 27lelchgcvs2wpm7.adevf4.top
0.0.0.0 27lelchgcvs2wpm7.ag082d.top
0.0.0.0 27lelchgcvs2wpm7.apperloads.win
0.0.0.0 27lelchgcvs2wpm7.asd3r3.top
0.0.0.0 27lelchgcvs2wpm7.b7mciu.top
0.0.0.0 27lelchgcvs2wpm7.bedrastic.bid
0.0.0.0 27lelchgcvs2wpm7.bestfordownload.click
0.0.0.0 27lelchgcvs2wpm7.bonbestal.asia
0.0.0.0 27lelchgcvs2wpm7.fm0cga.top
0.0.0.0 27lelchgcvs2wpm7.h9ihx3.top
0.0.0.0 27lelchgcvs2wpm7.laverhants.link
0.0.0.0 27lelchgcvs2wpm7.liopakerb.black
0.0.0.0 27lelchgcvs2wpm7.marksgain.kim
0.0.0.0 27lelchgcvs2wpm7.nfgpeb.top
0.0.0.0 27lelchgcvs2wpm7.redefined.click
0.0.0.0 27lelchgcvs2wpm7.rt4e34.win
0.0.0.0 27lelchgcvs2wpm7.tankbe.pro
0.0.0.0 27lelchgcvs2wpm7.thyx30.top
0.0.0.0 27lelchgcvs2wpm7.uboys5.top
0.0.0.0 27lelchgcvs2wpm7.vrid8l.top
0.0.0.0 27lelchgcvs2wpm7.wins4n.win
0.0.0.0 27lelchgcvs2wpm7.wishsends.mobi
0.0.0.0 27lelchgcvs2wpm7.xkfi59.top
0.0.0.0 27lelchgcvs2wpm7.xmvr54.top
0.0.0.0 2bdfb.spinakrosa.at
0.0.0.0 2gdb4.leoraorage.at
0.0.0.0 2ymh2gnnbg6pgq2r.gremsot.pl
0.0.0.0 2ymh2gnnbg6pgq2r.winregion.tw
0.0.0.0 32kl2rwsjvqjeui7.onion.cab
0.0.0.0 32kl2rwsjvqjeui7.onion.to
0.0.0.0 32kl2rwsjvqjeui7.tor2web.org
0.0.0.0 37kddsserrt.xyz
0.0.0.0 3qbyaoohkcqkzrz6.bestxprice.ch
0.0.0.0 3qbyaoohkcqkzrz6.livecamshow.ch
0.0.0.0 3qbyaoohkcqkzrz6.torclassik.li
0.0.0.0 3qbyaoohkcqkzrz6.torcommunity.ch
0.0.0.0 3qbyaoohkcqkzrz6.tordonator.li
0.0.0.0 3qbyaoohkcqkzrz6.tordoor.li
0.0.0.0 3qbyaoohkcqkzrz6.torgate.es
0.0.0.0 3qbyaoohkcqkzrz6.torgateway.li
0.0.0.0 3qbyaoohkcqkzrz6.tormain.li
0.0.0.0 3qbyaoohkcqkzrz6.tormaster.ch
0.0.0.0 3qbyaoohkcqkzrz6.tormaster.fr
0.0.0.0 3qbyaoohkcqkzrz6.torplanet.eu
0.0.0.0 3qbyaoohkcqkzrz6.torprovider.li
0.0.0.0 3qbyaoohkcqkzrz6.torreactor.li
0.0.0.0 3qbyaoohkcqkzrz6.torstation.li
0.0.0.0 4kqd3hmqgptupi3p.0vgu64.top
0.0.0.0 4kqd3hmqgptupi3p.143h2a.top
0.0.0.0 4kqd3hmqgptupi3p.1tvjk1.top
0.0.0.0 4kqd3hmqgptupi3p.1zp109.bid
0.0.0.0 4kqd3hmqgptupi3p.249isv.bid
0.0.0.0 4kqd3hmqgptupi3p.2y4t6f.bid
0.0.0.0 4kqd3hmqgptupi3p.3arvfd.top
0.0.0.0 4kqd3hmqgptupi3p.3lhjyx.top
0.0.0.0 4kqd3hmqgptupi3p.43wjor.top
0.0.0.0 4kqd3hmqgptupi3p.4j11jt.bid
0.0.0.0 4kqd3hmqgptupi3p.4k9xlx.top
0.0.0.0 4kqd3hmqgptupi3p.5b4ej6.bid
0.0.0.0 4kqd3hmqgptupi3p.5ctoeb.bid
0.0.0.0 4kqd3hmqgptupi3p.62er3d.top
0.0.0.0 4kqd3hmqgptupi3p.6h03gw.top
0.0.0.0 4kqd3hmqgptupi3p.6j7jcn.bid
0.0.0.0 4kqd3hmqgptupi3p.6ntrb6.top
0.0.0.0 4kqd3hmqgptupi3p.6ogy3i.top
0.0.0.0 4kqd3hmqgptupi3p.7w9p1n.bid
0.0.0.0 4kqd3hmqgptupi3p.859rkn.top
0.0.0.0 4kqd3hmqgptupi3p.8kcfnk.bid
0.0.0.0 4kqd3hmqgptupi3p.91006j.bid
0.0.0.0 4kqd3hmqgptupi3p.9ildst.top
0.0.0.0 4kqd3hmqgptupi3p.a0g0o7.bid
0.0.0.0 4kqd3hmqgptupi3p.adevf4.top
0.0.0.0 4kqd3hmqgptupi3p.anypicked.red
0.0.0.0 4kqd3hmqgptupi3p.as5su5.top
0.0.0.0 4kqd3hmqgptupi3p.asfall.in
0.0.0.0 4kqd3hmqgptupi3p.athere.in
0.0.0.0 4kqd3hmqgptupi3p.b7mciu.top
0.0.0.0 4kqd3hmqgptupi3p.barberryshin.casa
0.0.0.0 4kqd3hmqgptupi3p.bestergo.pw
0.0.0.0 4kqd3hmqgptupi3p.bigfooters.loan
0.0.0.0 4kqd3hmqgptupi3p.bnctf6.top
